level_0,Symbols,Close,High,Low,Open,Volume
2021-09-28,FB,340.65,349.6,338.92,347.97,21710286.0
2021-09-28,PFE,42.665,42.903,42.061,42.695,28762498.0
2021-09-28,BNTX,276.52,296.9,275.0,293.7,5854394.0
2021-09-29,AMZN,3301.12,3351.3,3297.87,3322.11,2562268.0
2021-09-29,GOOGL,2687.07,2743.02,2677.3,2739.6,1542435.0
2021-09-29,FB,339.61,345.23,338.88,343.15,14452241.0
2021-09-29,PFE,43.151,43.31,42.705,42.844,18195569.0
2021-09-29,BNTX,277.44,292.81,275.58,287.0,2776305.0
2021-09-30,AMZN,3285.04,3327.85,3273.99,3316.0,2847033.0
2021-09-30,GOOGL,2673.52,2710.85,2671.12,2685.23,1901440.0
2021-09-30,FB,339.39,342.8,338.15,340.445,16547094.0
2021-09-30,PFE,42.636,43.667,42.596,43.409,21297906.0
2021-09-30,BNTX,272.99,282.5,268.83,278.14,2639207.0
2021-10-01,AMZN,3283.26,3309.1746,3255.94,3289.01,2835617.0
2021-10-01,GOOGL,2730.86,2738.21,2681.46,2688.95,1768009.0
2021-10-01,FB,343.01,345.02,338.64,341.61,14905311.0
2021-10-01,PFE,42.556,42.72,41.337,42.15,38820794.0
2021-10-01,BNTX,254.79,259.24,230.0301,251.0,6885350.0
2021-10-04,AMZN,3189.78,3279.99,3176.25,3279.39,4523057.0
2021-10-04,GOOGL,2673.19,2719.21,2621.0,2719.21,2560097.0
2021-10-04,FB,326.23,335.94,322.7,335.53,42884975.0
2021-10-04,PFE,42.051,42.968,41.843,42.556,29160285.0
2021-10-04,BNTX,248.9,252.37,233.5,234.93,3718960.0
2021-10-05,AMZN,3221.0,3260.73,3202.464,3204.5,3269208.0
2021-10-05,GOOGL,2720.46,2744.49,2680.82,2680.82,1620163.0
2021-10-05,FB,332.96,335.18,326.1638,328.58,35377947.0
2021-10-05,PFE,41.952,42.418,41.912,42.16,19512341.0
2021-10-05,BNTX,250.12,258.0,248.92,253.952,2038466.0
2021-10-06,AMZN,3262.01,3264.34,3198.62,3213.53,2532977.0
2021-10-06,GOOGL,2751.3,2755.0,2691.0,2695.0,1218214.0
2021-10-06,FB,333.64,334.38,325.8,329.77,26443010.0
2021-10-06,PFE,41.654,41.833,41.327,41.694,30751427.0
2021-10-06,BNTX,236.14,248.54,233.75,246.96,2434175.0
2021-10-07,AMZN,3302.43,3325.746,3283.06,3291.54,2409075.0
2021-10-07,GOOGL,2784.5,2800.84,2773.024,2777.84,1255507.0
2021-10-07,FB,329.22,338.84,328.98,337.0,28307456.0
2021-10-07,PFE,42.368,42.586,41.843,42.15,19951915.0
2021-10-07,BNTX,246.57,252.59,232.06,235.8,2585488.0
2021-10-08,AMZN,3288.62,3321.43,3288.2,3317.0,1998217.0
2021-10-08,GOOGL,2795.71,2806.6207,2784.35,2791.54,1326292.0
2021-10-08,FB,330.05,333.4,328.71,331.51,15946110.0
2021-10-08,PFE,42.081,42.532,41.972,42.358,12890767.0
2021-10-08,BNTX,245.95,257.8999,243.2,252.03,1916118.0
2021-10-11,AMZN,3246.3,3292.5899,3238.1,3275.0,2034203.0
2021-10-11,GOOGL,2778.28,2814.24,2777.18,2785.84,897681.0
2021-10-11,FB,325.45,330.46,325.31,327.625,14708224.0
2021-10-11,PFE,41.694,42.249,41.644,42.081,12089356.0
2021-10-11,BNTX,243.02,251.05,240.97,244.0,1244361.0
2021-10-12,AMZN,3247.33,3267.528,3236.28,3257.0,1819571.0
2021-10-12,GOOGL,2728.98,2790.14,2715.2,2789.6,1816612.0
2021-10-12,FB,323.77,324.38,317.37,323.03,31658684.0
2021-10-12,PFE,41.486,41.843,41.297,41.793,16364692.0
2021-10-12,BNTX,243.77,248.42,240.13,247.73,1292000.0
2021-10-13,AMZN,3284.28,3288.38,3261.0889,3269.71,2425086.0
2021-10-13,GOOGL,2751.64,2760.0,2730.3763,2748.05,983116.0
2021-10-13,FB,324.54,327.0,322.66,326.97,14761470.0
2021-10-13,PFE,41.06,41.545,40.584,41.387,28453301.0
2021-10-13,BNTX,249.4,250.98,244.5,247.07,1440038.0
2021-10-14,AMZN,3299.86,3312.6,3290.78,3302.4541,2112020.0
2021-10-14,GOOGL,2823.02,2826.745,2776.5,2789.4761,1596397.0
2021-10-14,FB,328.53,330.52,327.1,328.355,14302154.0
2021-10-14,PFE,41.307,41.591,41.154,41.198,17744713.0
2021-10-14,BNTX,250.33,257.34,249.0,253.13,1710632.0
2021-10-15,AMZN,3409.02,3410.42,3304.0,3311.42,5179941.0
2021-10-15,GOOGL,2827.36,2834.36,2815.1,2832.29,1513722.0
2021-10-15,FB,324.76,329.07,322.51,328.68,21596370.0
2021-10-15,PFE,41.129,41.664,41.02,41.535,23757065.0
2021-10-15,BNTX,247.68,252.8,245.28,252.8,1654029.0
2021-10-18,AMZN,3446.74,3449.17,3385.1,3388.3576,3174115.0
2021-10-18,GOOGL,2855.56,2855.92,2821.389,2821.53,1019808.0
2021-10-18,FB,335.34,335.89,327.5,328.95,21585018.0
2021-10-18,PFE,40.96,41.337,40.683,41.089,21923760.0
2021-10-18,BNTX,261.09,261.13,245.03,245.34,2011888.0
2021-10-19,AMZN,3444.15,3454.69,3422.0,3434.29,2386079.0
2021-10-19,GOOGL,2864.74,2873.25,2852.0,2867.75,1008150.0
2021-10-19,FB,339.99,342.46,337.28,339.645,18786316.0
2021-10-19,PFE,41.724,41.833,41.18,41.238,17310413.0
2021-10-19,BNTX,262.85,282.0,262.0,273.0,3854495.0
2021-10-20,AMZN,3415.06,3462.86,3400.37,3452.66,2139777.0
2021-10-20,GOOGL,2835.38,2870.9218,2827.53,2866.76,1164403.0
2021-10-20,FB,340.78,343.98,339.4531,343.445,13639465.0
2021-10-20,PFE,42.428,42.735,41.734,41.753,22988309.0
2021-10-20,BNTX,269.42,273.97,265.0001,268.73,2029221.0
2021-10-21,AMZN,3435.01,3440.28,3403.0,3414.25,1881385.0
2021-10-21,GOOGL,2837.72,2843.12,2810.0,2835.38,1314613.0
2021-10-21,FB,341.88,342.31,337.8,340.275,16354423.0
2021-10-21,PFE,42.487,42.715,42.061,42.68,22336686.0
2021-10-21,BNTX,286.36,286.799,275.03,276.6,2558793.0
2021-10-22,AMZN,3335.55,3429.84,3331.3,3421.0,3139053.0
2021-10-22,GOOGL,2751.33,2811.655,2721.12,2783.0,2529448.0
2021-10-22,FB,324.61,329.63,321.11,326.345,35224543.0
2021-10-22,PFE,42.784,42.814,42.259,42.447,17333843.0
2021-10-22,BNTX,278.34,295.815,268.05,294.78,3558919.0
2021-10-25,AMZN,3320.37,3347.7997,3297.7,3335.0,2225956.0
2021-10-25,GOOGL,2748.94,2760.0,2708.48,2751.0,1720613.0
2021-10-25,FB,328.69,329.56,319.72,320.3,38408957.0
2021-10-25,PFE,42.775,42.864,42.2,42.824,23046782.0
2021-10-25,BNTX,294.92,295.51,278.6765,278.6765,2852958.0
2021-10-26,AMZN,3376.07,3416.12,3343.98,3349.51,2698342.0
2021-10-26,GOOGL,2786.17,2801.6588,2766.09,2785.27,2461751.0
2021-10-26,FB,315.81,330.2099,309.6,328.26,65654043.0
2021-10-26,PFE,43.181,43.379,42.547,42.953,29990008.0
2021-10-26,BNTX,292.39,304.35,290.63,295.51,2272378.0
2021-10-27,AMZN,3392.49,3437.0,3371.4534,3388.0,2702224.0
2021-10-27,GOOGL,2924.35,2973.0,2788.1,2788.1,4289070.0
2021-10-27,FB,312.22,319.25,312.06,314.19,29971761.0
2021-10-27,PFE,42.596,43.181,42.309,43.082,22513376.0
2021-10-27,BNTX,278.77,297.95,277.84,294.54,1914274.0
2021-10-28,AMZN,3446.57,3479.0,3386.0,3402.095,5708733.0
2021-10-28,GOOGL,2916.98,2943.16,2892.535,2942.69,1810319.0
2021-10-28,FB,316.92,325.52,308.11,312.99,50806840.0
2021-10-28,PFE,42.804,43.29,42.566,42.576,18181614.0
2021-10-28,BNTX,283.98,288.71,277.1,282.5,1468457.0
2021-10-29,AMZN,3372.43,3374.82,3273.32,3300.02,6486077.0
2021-10-29,GOOGL,2960.92,2964.84,2892.99,2901.56,2166015.0
2021-10-29,FB,323.57,325.9999,319.6,320.19,37059384.0
2021-10-29,PFE,43.359,43.449,42.482,42.715,30573520.0
2021-10-29,BNTX,278.73,284.85,273.0,283.75,1462567.0
2021-11-01,AMZN,3318.11,3375.86,3292.02,3361.8,3608879.0
2021-11-01,GOOGL,2869.94,2960.92,2864.51,2960.92,2346162.0
2021-11-01,FB,329.98,333.45,326.0,326.04,31518885.0
2021-11-01,PFE,43.26,43.905,43.062,43.756,32968389.0
2021-11-01,BNTX,274.32,282.9,269.235,282.0,1798695.0
2021-11-02,AMZN,3312.75,3331.115,3283.55,3315.01,2627590.0
2021-11-02,GOOGL,2908.65,2932.18,2886.71,2891.59,1674112.0
2021-11-02,FB,328.08,334.7895,323.8,331.38,28352966.0
2021-11-02,PFE,45.055,45.639,42.675,44.683,69855832.0
2021-11-02,BNTX,289.48,290.79,276.37,282.08,2469792.0
2021-11-03,AMZN,3384.0,3394.92,3297.52,3309.0,3397189.0
2021-11-03,GOOGL,2931.96,2933.38,2891.82,2918.01,1374662.0
2021-11-03,FB,331.62,332.15,323.2,327.49,20786502.0
2021-11-03,PFE,44.43,45.59,44.093,45.124,44984569.0
2021-11-03,BNTX,295.41,296.95,282.78,293.53,2416766.0
2021-11-04,AMZN,3477.0,3498.625,3365.0001,3370.0,5353020.0
2021-11-04,GOOGL,2965.35,2994.67,2926.16,2942.49,1920563.0
2021-11-04,FB,335.85,337.273,332.65,334.0065,22495281.0
2021-11-04,PFE,43.85,44.47,43.305,44.29,38172536.0
2021-11-04,BNTX,273.94,286.0,263.63,283.78,5055911.0
2021-11-05,AMZN,3518.99,3566.25,3476.98,3477.0,4996951.0
2021-11-05,GOOGL,2977.04,3006.55,2963.94,2983.39,1917737.0
2021-11-05,FB,341.13,346.79,339.64,340.31,26872817.0
2021-11-05,PFE,48.61,48.8099,46.55,48.09,173959104.0
2021-11-05,BNTX,216.64,246.0,207.51,240.47,11684284.0
2021-11-08,AMZN,3488.98,3579.0,3487.86,3523.24,3073992.0
2021-11-08,GOOGL,2980.62,3012.295,2968.61,2996.5,1152625.0
2021-11-08,FB,338.62,344.789,338.34,344.42,18342458.0
2021-11-08,PFE,48.33,48.785,47.6,48.61,57423266.0
2021-11-08,BNTX,242.6,243.08,228.62,232.18,4834286.0
